Image Name,Original JSON,Updated JSON
1711725089132.png,"{'metadata': {'title': 'Global and regional inflation', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Inflation rate (%)'}}, 'data': [{'name': 'World', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [5, 8, 5, 6]}, {'name': 'Developed Economies', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 5, 4, 5]}, {'name': 'Economies in transition', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [8, 14, 8, 10]}, {'name': 'Africa', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 17, 14, 18]}, {'name': 'East Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 4, 3, 4]}, {'name': 'South Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 14, 10, 13]}, {'name': 'Western Asia and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [25, 21, 18, 15]}, {'name': 'Latin America and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [9, 12, 9, 11]}]}","{'metadata': {'title': 'Global and regional inflation', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Inflation rate (%)'}}, 'data': [{'name': 'World', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [5, 8, 5, 6]}, {'name': 'Developed Economies', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 5, 4, 5]}, {'name': 'Economies in transition', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [8, 14, 8, 10]}, {'name': 'Africa', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 17, 14, 18]}, {'name': 'East Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [2, 4, 3, 4]}, {'name': 'South Asia', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [11, 14, 10, 13]}, {'name': 'Western Asia and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [25, 21, 18, 15]}, {'name': 'Latin America and the Caribbean', 'x': ['2010-2019 Average', '2022', '2023', '2024'], 'y': [9, 12, 9, 11]}]}"
unlabelled.png,"{'metadata': {'title': 'Percentage of GDP', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Percentage'}}, 'data': [{'name': 'Republic of Korea', 'x': [2015, 2020], 'y': [4.0, 4.9]}, {'name': 'Sweden', 'x': [2015, 2020], 'y': [3.0, 3.3]}, {'name': 'United States', 'x': [2015, 2020], 'y': [2.5, 3.1]}, {'name': 'Germany', 'x': [2015, 2020], 'y': [2.7, 2.9]}, {'name': 'France', 'x': [2015, 2020], 'y': [2.1, 2.3]}, {'name': 'Norway', 'x': [2015, 2020], 'y': [1.8, 2.1]}, {'name': 'United Kingdom', 'x': [2015, 2020], 'y': [1.4, 1.7]}, {'name': 'Poland', 'x': [2015, 2020], 'y': [0.9, 1.3]}]}","{'metadata': {'title': 'Percentage of GDP', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Percentage'}}, 'data': [{'name': 'Republic of Korea', 'x': [2015, 2020], 'y': [4.0, 4.9]}, {'name': 'Sweden', 'x': [2015, 2020], 'y': [3.0, 3.3]}, {'name': 'United States', 'x': [2015, 2020], 'y': [2.5, 3.1]}, {'name': 'Germany', 'x': [2015, 2020], 'y': [2.7, 2.9]}, {'name': 'France', 'x': [2015, 2020], 'y': [2.1, 2.3]}, {'name': 'Norway', 'x': [2015, 2020], 'y': [1.8, 2.1]}, {'name': 'United Kingdom', 'x': [2015, 2020], 'y': [1.4, 1.7]}, {'name': 'Poland', 'x': [2015, 2020], 'y': [0.9, 1.3]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate Trend', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate Trend', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
without_label.jpg,"{'metadata': {'title': 'Inflation Rate by Month', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}","{'metadata': {'title': 'Inflation Rate by Month', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}"
without_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [1, 2, 4, 5, 6, 7.5, 8, 8, 7.5, 6.5]}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Months'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Months'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rates', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rates', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rates', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rates', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}, 'legend': {'title': 'Year'}}, 'data': [{'name': '2021', 'x': ['Oct-21', 'Nov-21', 'Dec-21'], 'y': ['0.85', '1.87', '4.05']}, {'name': '2022', 'x': ['Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': ['5.43', '5.85', '7.60', '8.31', '7.97', '7.75', '6.69']}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}, 'legend': {'title': 'Year'}}, 'data': [{'name': '2021', 'x': ['Oct-21', 'Nov-21', 'Dec-21'], 'y': ['0.85', '1.87', '4.05']}, {'name': '2022', 'x': ['Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': ['5.43', '5.85', '7.60', '8.31', '7.97', '7.75', '6.69']}]}"
with_label.jpg,"{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Monthly Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Inflation Rate (%)'}}, 'data': [{'name': 'Inflation Rate', 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
with_label.jpg,"{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': None, 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}","{'metadata': {'title': 'Inflation Rate', 'xaxis': {'title': 'Month'}, 'yaxis': {'title': 'Rate'}}, 'data': [{'name': None, 'x': ['Oct-21', 'Nov-21', 'Dec-21', 'Jan-22', 'Feb-22', 'Mar-22', 'Apr-22', 'May-22', 'Jun-22', 'Jul-22'], 'y': [0.85, 1.87, 4.05, 5.43, 5.85, 7.6, 8.31, 7.97, 7.75, 6.69]}]}"
1.3_image3.jpg,"{'metadata': {'title': 'Number of countries by income group and region', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Number of countries'}, 'legend': ['World', 'Sub-Saharan Africa', 'Least Developed Countries', 'Low and middle income countries']}, 'data': [{'name': 'World', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [12, 15, 18, 22, 26, 31, 39, 49, 58]}, {'name': 'Sub-Saharan Africa', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [2, 4, 7, 11, 16, 22, 29, 40, 50]}, {'name': 'Least Developed Countries', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [0, 1, 2, 3, 5, 8, 13, 21, 31]}, {'name': 'Low and middle income countries', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [0, 1, 2, 4, 7, 11, 18, 29, 45]}]}","{'metadata': {'title': 'Number of countries by income group and region', 'xaxis': {'title': 'Year'}, 'yaxis': {'title': 'Number of countries'}, 'legend': ['World', 'Sub-Saharan Africa', 'Least Developed Countries', 'Low and middle income countries']}, 'data': [{'name': 'World', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [12, 15, 18, 22, 26, 31, 39, 49, 58]}, {'name': 'Sub-Saharan Africa', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [2, 4, 7, 11, 16, 22, 29, 40, 50]}, {'name': 'Least Developed Countries', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [0, 1, 2, 3, 5, 8, 13, 21, 31]}, {'name': 'Low and middle income countries', 'x': [2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008], 'y': [0, 1, 2, 4, 7, 11, 18, 29, 45]}]}"
1.2_image4.jpg,"{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Life Satisfaction'}, 'legends': [{'name': 'Free long distance calls'}, {'name': 'Gasolinazo (fuel prices)'}]}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo (fuel prices)', 'x': ['2017 Q1'], 'y': [8]}]}","{'metadata': {'title': 'Life Satisfaction in Mexico', 'xaxis': {'title': 'Quarter'}, 'yaxis': {'title': 'Life Satisfaction'}, 'legends': [{'name': 'Free long distance calls'}, {'name': 'Gasolinazo (fuel prices)'}]}, 'data': [{'name': 'Free long distance calls', 'x': ['2013 Q3', '2014 Q1', '2014 Q3', '2015 Q1', '2015 Q3', '2016 Q1', '2016 Q3', '2017 Q1', '2017 Q3', '2018 Q1', '2018 Q3'], 'y': [7.67, 7.93, 7.98, 8.12, 8.03, 8.03, 8.05, 8.09, 8.22, 8.22, 8.33]}, {'name': 'Gasolinazo (fuel prices)', 'x': ['2017 Q1'], 'y': [8]}]}"
